CSI Division,Subdivision Name,Manufacturer,Product,Red List Status,FSC Content,Recycled Content,Reference Project
01: General Requirements,01 00 00 General Requirements,Owens Corning,Cavitycomplete Wall System For Steel Stud With Masonry Veneer,LBC Compliant,Unknown,Unknown,Unknown
01: General Requirements,01 00 00 General Requirements,SIPs of America,Structural Insulated Panels,Red List Free,Unknown,Unknown,Unknown
01: General Requirements,01 56 26 Temporary Fencing,The Reuse Everything Institute Inc.,Reii Landscaping Fence,Red List Free,Unknown,Unknown,Unknown
02: Site Construction,02 70 00 Water Remediation,Tencate,Mirafi 140N Silt Fence,LBC Compliant,Unknown,Unknown,Smith Environmental Classroom
02: Site Construction,02 70 00 Water Remediation,Tencate,N-Series Geotextile,LBC Compliant,Unknown,Unknown,Smith Environmental Classroom
02: Site Construction,02 90 00 Unassigned (Composting),GroCo Inc.,Groco Compost Made With Loop,Red List Free,Unknown,Unknown,Unknown
03: Concrete,03 01 00 Maintenance Of Concrete,MAPEI AMERICAS,Ultraplan 1 Plus,Red List Free,Unknown,Unknown,Unknown
03: Concrete,03 01 30 Resurfacing Of Cast-In-Place Concrete,MAPEI AMERICAS,Ultratop Pc,Red List Free,Unknown,Unknown,Unknown
03: Concrete,03 05 00 Common Work Results Concrete,WR Grace,"Daravair 1000 - Concrete
Additives",LBC Compliant,Unknown,Unknown,Smith Environmental Classroom
03: Concrete,03 05 00 Common Work Results Concrete,WR Grace,Polarset - Concrete Additives,LBC Compliant,Unknown,Unknown,Smith Environmental Classroom
03: Concrete,03 05 00 Common Work Results Concrete,WR Grace,"AVDA 190 - Concrete
Additives",LBC Compliant,Unknown,Unknown,Smith Environmental Classroom
03: Concrete,03 10 00 Concrete Forming And Accessories,Arvis Eco,Drain Joint,Red List Free,Unknown,Unknown,Unknown
03: Concrete,03 11 33 Concrete Formwork,Bio-Form or similar,Form Release Agents,LBC Compliant,Unknown,Unknown,Smith Environmental Classroom
03: Concrete,03 15 00 Concrete Accessories,WR Meadows,Fiber Expansion Joint,LBC Compliant,Unknown,Unknown,Bullitt Center
03: Concrete,03 15 00 Concrete Accessories,Cetco,Cetco Hydrobar Tubes,LBC Compliant,Unknown,Unknown,Bullitt Center
03: Concrete,03 15 00 Concrete Accessories,Decon,Studrail HDPE chairs,LBC Compliant,Unknown,Unknown,Bullitt Center
03: Concrete,03 15 00 Concrete Accessories,Dayton Superior,Dayton Superior Wire chairs w/ plastic tip,LBC Compliant,Unknown,Unknown,Bullitt Center
03: Concrete,03 15 00 Concrete Accessories,PSI,Link Seal Model CS,LBC Compliant,Unknown,Unknown,Bullitt Center
03: Concrete,03 15 13 Waterstops,GreenStreak,Swell Stop Primer WB,LBC Compliant,Unknown,Unknown,Bullitt Center
03: Concrete,03 15 13 Waterstops,GreenStreak,Swell Stop,LBC Compliant,Unknown,Unknown,Bullitt Center
03: Concrete,03 21 00 Reinforcing Steel,Cascade Steel,Cascade Rebar,LBC Compliant,Unknown,Unknown,Bullitt Center
03: Concrete,03 21 13 Galvanized Reinforcing Steel,Decon,Studrail,LBC Compliant,Unknown,Unknown,Bullitt Center
03: Concrete,03 30 00 Cast-In-Place Concrete,Prosoco,Consolideck Colorhard,LBC Compliant,0%,0%,Unknown
03: Concrete,03 30 00 Cast-In-Place Concrete,Prosoco,Consolideck Guardext,Red List Free,0%,0%,Unknown
03: Concrete,03 30 00 Cast-In-Place Concrete,Prosoco,Consolideck Ls/Cs,Red List Free,0%,0%,Unknown
